	summarized	lineages	abundances	resid	coverage
ENV-COV-24-1039_S84.tsv	[('BA.2.86* (BA.2.86X)', 0.956046971191515), ('Other', 0.04232332299637439)]	JN.1.1.1 JN.1.11.1 JN.1.9 JN.10 BA.2.86.3 JN.1.1 XDD.1.1 BA.2.86 JN.1.18 JN.1.1.4	0.41384595 0.20486100 0.11463500 0.08995532 0.05203780 0.04468600 0.04232332 0.01421849 0.01298820 0.00881921	14.28009392570744	96.70936026485637
ENV-COV-24-1040_S85.tsv	[('BA.2.86* (BA.2.86X)', 0.9823021640452586), ('Other', 0.016255913983637463)]	JN.1.1.1 JN.1.9 JN.1.1.3 JN.1.4 JN.1.11.1 BA.2.86 JN.2.1 BA.2.86.3 XDK BA.2.86.1 JN.1.1 XDD.1 JN.1.4.2	0.24093434 0.20223191 0.16931712 0.16912734 0.07073080 0.04719839 0.03645200 0.02821160 0.01386089 0.00982111 0.00715690 0.00239502 0.00112066	15.522652820768997	97.96675918804134
ENV-COV-24-1041_S86.tsv	[('BA.2.86* (BA.2.86X)', 0.9990782928080923)]	JN.1.18	0.99907829	11.838335361811968	93.00404641674749
ENV-COV-24-1042_S87.tsv	[('BA.2.86* (BA.2.86X)', 0.9983284709615504)]	JN.1.18 JN.1.11.1 JN.1.4	0.50435667 0.44700900 0.04696280	16.173240040746098	98.26773233454837
ENV-COV-24-1044_S88.tsv	[('BA.2.86* (BA.2.86X)', 0.9997171359999105)]	JN.1.18	0.99971714	7.554734135196933	74.76841788449319
ENV-COV-24-1045_S89.tsv	[('BA.2.86* (BA.2.86X)', 0.9997072535770202)]	BA.2.86.3 JN.1.9	0.91895510 0.08075215	13.70911714599228	94.85335919472962
ENV-COV-24-1046_S90.tsv	[('BA.2.86* (BA.2.86X)', 0.9981863769396437), ('Other', 0.0015267199910774178)]	JN.1.18 JN.1.11 XDR	0.82005738 0.17812900 0.00152672	7.7709828498182985	55.40581212587366
ENV-COV-24-1047_S91.tsv	[('BA.2.86* (BA.2.86X)', 0.9996627021282534)]	JN.1.11.1 JN.1.16	0.87970500 0.11995770	10.91028424154515	96.26124469116812
ENV-COV-24-1056_S60.tsv	[('BA.2.86* (BA.2.86X)', 0.9995891119896723)]	JN.1.18 BA.2.86.3 JN.1.3 JN.1.13 JN.1.11.1	0.90706401 0.02625400 0.02581010 0.02307690 0.01738410	13.282197224925799	97.54205263685918
ENV-COV-24-1057_S74.tsv	[('BA.2.86* (BA.2.86X)', 0.9996221649993646)]	JN.1.18	0.99962216	12.875587416584228	94.13436778918503
