	summarized	lineages	abundances	resid	coverage
ENV-COV-24-1945_S66.tsv	[('BA.2.86* (BA.2.86.X)', 0.5530546739900457), ('KP.3* (KP.3.X)', 0.18415399939038468), ('KP.3.1.1* (KP.3.1.1.X)', 0.15467450455417614), ('JN.1.7* (JN.1.7.X)', 0.10585954015595025)]	KP.3.1 KP.3.1.1 KP.1.2 KP.5 JN.1.9.1 JN.1.7 JN.1.7.4 JN.1.7.5 JN.1.32.1 JN.1.32 KP.3.3 KP.3.2 KP.1 KP.3.2.1 JN.1.11.1 KP.3 JN.1.11 JN.1.29.1 JN.1.58.1 JN.1.29 JN.1.31 JN.1.16 JN.1.30 JN.1.49.2 JN.1.9 JN.1.39 JN.1.52 JN.1.54 JN.1.40 JN.1.34 JN.1.10 JN.1.45 JN.1.15 JN.1.20 JN.1.28 JN.1.58 JN.1.49 JN.1.53 JN.1.38 JN.1	0.15467450 0.15467450 0.13919748 0.13919748 0.03528651 0.03528651 0.03528651 0.03528651 0.03528651 0.03528651 0.00736987 0.00736987 0.00736987 0.00736987 0.00736987 0.00736987 0.00736987 0.00637785 0.00637785 0.00637785 0.00637785 0.00637785 0.00637785 0.00637785 0.00637785 0.00637785 0.00637785 0.00637785 0.00637785 0.00637785 0.00637785 0.00637785 0.00637785 0.00637785 0.00637785 0.00637785 0.00637785 0.00637785 0.00637785 0.00637785	5.183355714	53.52974618
ENV-COV-24-1939_S65.tsv	[('KP.3.1.1* (KP.3.1.1.X)', 0.7736499999976192), ('BA.2.86* (BA.2.86.X)', 0.22424941740986717)]	KP.3.1.1 JN.1.58.1 JN.1.58	0.77365000 0.11212471 0.11212471	5.999812927	72.83550145
ENV-COV-24-1897_S45.tsv	[('BA.2.86* (BA.2.86.X)', 0.6671106474589378), ('KP.2* (KP.2.X)', 0.22004860829367456), ('LB.1* (LB.1.X)', 0.11081516236586557)]	JN.1.11 KP.2.3.1 JN.1.32.1 LB.1 JN.1.9.2 KP.5 KP.2 KP.2.10	0.35114599 0.20624200 0.19805092 0.11081516 0.11081516 0.00709858 0.00690330 0.00690330	10.55787311	95.53556499
ENV-COV-24-1946_S67.tsv	[('KP.3* (KP.3.X)', 0.9982289999996525)]	KP.3.3	0.998229	11.7562463	92.82680667
ENV-COV-24-1930_S59.tsv	[('KP.2* (KP.2.X)', 0.965069712776913), ('LB.1* (LB.1.X)', 0.03240539930163096), ('KP.3* (KP.3.X)', 0.0010020010376336102)]	KP.2 KP.2.10 LB.1 KP.2.6 KP.2.3 KP.3	0.48028691 0.48028691 0.03240540 0.00287356 0.00162234 0.00100200	8.961994324	69.18369394
ENV-COV-24-2014_S19.tsv	[('BA.2.86* (BA.2.86.X)', 0.9278912461674828), ('KP.2* (KP.2.X)', 0.038464464121418754), ('KP.3* (KP.3.X)', 0.030174575757671098)]	LA.1 JN.1.16.1 KP.3 KP.1.1.3 KP.1.1 KP.2.10 KP.4.1 KP.2	0.43509727 0.43509727 0.03017458 0.01923223 0.01923223 0.01923223 0.01923223 0.01923223	9.013325382	62.42851888
ENV-COV-24-1983_S8.tsv	[('BA.2.86* (BA.2.86.X)', 0.7633030590645128), ('KP.2* (KP.2.X)', 0.12586859417229224), ('JN.1.18* (JN.1.18.X)', 0.06514317697757224), ('KP.3* (KP.3.X)', 0.04001382533766085)]	JN.1.38 KP.2 KP.1.1.3 KP.2.1 KP.1.1 JN.1.18.3 LA.1 JN.1.24.1 JN.1.18 JN.1.18.1 JN.1.16.1 KP.1 KP.3.2 KP.3.2.1 KP.3.2.2 KP.3 JN.1.11.1 JN.1.39 JN.1.16.2 JN.1.51.1 JN.1.16 JN.1.43 JN.1.19 JN.1.24 JN.1.52 JN.1.51 JN.1.55 JN.1.2 JN.1.3 JN.1 KP.2.3	0.45434900 0.06177646 0.06177646 0.06177646 0.06177646 0.02171439 0.02171439 0.02171439 0.02171439 0.02171439 0.02171439 0.01000346 0.01000346 0.01000346 0.01000346 0.01000346 0.01000346 0.00771162 0.00771162 0.00771162 0.00771162 0.00771162 0.00771162 0.00771162 0.00771162 0.00771162 0.00771162 0.00771162 0.00771162 0.00771162 0.00231568	8.952207689	74.78179447
ENV-COV-24-2032_S29.tsv	[('LB.1* (LB.1.X)', 0.8736780000010078), ('BA.2.86* (BA.2.86.X)', 0.12361418243495106), ('KP.2* (KP.2.X)', 0.0016814920026404308)]	LB.1 JN.1.49.1 JN.1.49 KP.2.3	0.87367800 0.11467040 0.00894378 0.00168149	11.54793624	97.85305822
ENV-COV-24-1974_S6.tsv	[('KP.3* (KP.3.X)', 0.3559668022734107), ('KP.3.1.1* (KP.3.1.1.X)', 0.34166699981287646), ('LB.1* (LB.1.X)', 0.1535519999061322), ('BA.2.86* (BA.2.86.X)', 0.1461348368276948)]	KP.3.2 KP.3.1.1 LB.1 JN.1.16.1 KP.3.3	0.35146230 0.34166700 0.15355200 0.14613484 0.00450450	13.34683766	93.0608969
ENV-COV-24-1990_S10.tsv	[('BA.2.86* (BA.2.86.X)', 0.428926966488231), ('KP.3* (KP.3.X)', 0.3500909982828061), ('LB.1* (LB.1.X)', 0.21820999525257542)]	KP.3.1 LB.1 JN.1.1.6 JN.1.16.2 JN.1.51.1 JN.1.16 JN.11.1	0.35009100 0.21821000 0.10687473 0.10687473 0.10687473 0.10687473 0.00142804	8.98714619	69.72210146
ENV-COV-24-1969_S2.tsv	[('BA.2.86* (BA.2.86.X)', 0.7980071841030636), ('LB.1* (LB.1.X)', 0.19950179602561358)]	JN.1.9 JN.1.9.2 JN.1.9.1 LB.1 JN.1.32.1	0.19950180 0.19950180 0.19950180 0.19950180 0.19950180	4.561655339	32.53185299
