	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	SiteProvince	DistrictName	EpiWeek	SampleCollectionDate	Sequence_ID	SiteName	Lineages	Abundances
COV-22-198	147	147	147	Gauteng	Tshwane MM	30.0	2022-07-27	COV-22-198	Daspoort Wastewater Treatment Works	BA.5.X BA.4.X	[0.99756211, 0.00185549]
COV-22-20	148	148	148	KwaZulu-Natal	Ethekwini MM	3.0	2022-01-17	COV-22-20	Central Wastewater Treatment Works (KZN)	Delta BA.2.X Recombinants Other	[0.1754062, 0.05553417, 0.51300018, 0.24156371]
COV-22-21	149	149	149	KwaZulu-Natal	Ethekwini MM	3.0	2022-01-17	COV-22-21	Northern Wastewater Treatment Works (KZN)	BA.2.X	[0.9958049099999997]
COV-22-214	150	150	150	Gauteng	Johannesburg MM	31.0	2022-08-02	COV-22-214	Goudkoppies Wastewater Treatment Works	BA.5.X BA.4.X	[0.7630140999999999, 0.23346966000000002]
COV-22-215	151	151	151	KwaZulu-Natal	Ethekwini MM	31.0	2022-08-01	COV-22-215	Central Wastewater Treatment Works (KZN)	Other	[0.9990579]
COV-22-216	152	152	152	Gauteng	Tshwane MM	31.0	2022-08-03	COV-22-216	Rooiwal Wastewater Treatment Works	BA.5.X	[0.99875012]
COV-22-219	155	155	155	Free State	Mangaung MM	31.0	2022-08-02	COV-22-219	Bloemspruit Wastewater Treatment Works	BA.5.X	[0.9984826099999999]
COV-22-22	156	156	156	Gauteng	Ekurhuleni MM	3.0	2022-01-18	COV-22-22	Hartebeesfontein Waterworks	BA.2.X BA.1.X	[0.41241314, 0.58539956]
COV-22-221	158	158	158	Gauteng	Tshwane MM	32.0	2022-08-10	COV-22-221	Rooiwal Wastewater Treatment Works	BA.5.X	[0.99804281]
COV-22-222	159	159	159	Gauteng	Tshwane MM	32.0	2022-08-10	COV-22-222	Daspoort Wastewater Treatment Works	BA.5.X BA.4.X Recombinants Other	[0.6577634, 0.29732135, 0.02857854, 0.01208226]
COV-22-224	161	161	161	Gauteng	Johannesburg MM	32.0	2022-08-11	COV-22-224	Goudkoppies Wastewater Treatment Works	BA.4.X	[0.99942876]
COV-22-225	162	162	162	KwaZulu-Natal	Ethekwini MM	32.0	2022-08-10	COV-22-225	Central Wastewater Treatment Works (KZN)	BA.5.X	[0.9960049700000001]
